year,marital,age,race,rincome,partyid,relig,denom,tvhours
2006,Separated,25,Other,$20000 - 24999,other party,Christian,No denomination,NA
2006,Never married,29,Black,Not applicable,democrat,Protestant,Baptist-dk which,10
2006,Married,36,White,$25000 or more,republican,Protestant,Baptist-dk which,NA
2006,Married,52,White,$25000 or more,republican,Catholic,Not applicable,4
2006,Married,49,White,$4000 to 4999,republican,Protestant,Southern baptist,NA
2006,Married,62,White,$10000 - 14999,republican,Protestant,"Presbyterian, merged",NA
2006,Divorced,41,White,$20000 - 24999,other party,Other eastern,Not applicable,NA
2006,Married,58,White,$25000 or more,republican,Protestant,United methodist,2
2006,Never married,20,White,$1000 to 2999,republican,Protestant,Baptist-dk which,NA
2006,Married,62,White,Refused,republican,Protestant,United methodist,NA
2006,Married,64,White,$25000 or more,republican,Catholic,Not applicable,NA
2006,Never married,66,Black,Not applicable,democrat,Protestant,Other,7
2006,Married,30,White,$4000 to 4999,democrat,None,Not applicable,NA
2006,Never married,41,White,$25000 or more,democrat,Catholic,Not applicable,NA
2006,Never married,43,Black,Not applicable,republican,Catholic,Not applicable,NA
2006,Separated,52,White,Not applicable,democrat,Catholic,Not applicable,NA
2006,Married,44,Other,Not applicable,other party,Catholic,Not applicable,NA
2006,Never married,20,Black,$5000 to 5999,democrat,Catholic,Not applicable,NA
2006,Never married,32,Black,Not applicable,other party,Protestant,Don't know,NA
2006,Never married,24,White,$8000 to 9999,democrat,Jewish,Not applicable,0
2006,Never married,37,Black,$25000 or more,democrat,Protestant,Baptist-dk which,3
2006,Never married,66,Other,Not applicable,democrat,Catholic,Not applicable,NA
2006,Divorced,44,White,$25000 or more,democrat,None,Not applicable,NA
2006,Married,35,White,Not applicable,democrat,Catholic,Not applicable,1
2006,Never married,34,Other,$3000 to 3999,democrat,None,Not applicable,NA
2006,Never married,27,White,$25000 or more,democrat,None,Not applicable,2
2006,Married,47,Other,Don't know,other party,Catholic,Not applicable,NA
2006,Never married,25,Other,$25000 or more,democrat,Catholic,Not applicable,NA
2006,Separated,32,White,$25000 or more,republican,Protestant,Southern baptist,NA
2006,Widowed,83,White,Not applicable,democrat,Catholic,Not applicable,6
2006,Never married,37,Other,$10000 - 14999,other party,Catholic,Not applicable,NA
2006,Never married,24,Other,$3000 to 3999,democrat,Buddhism,Not applicable,NA
2006,Separated,65,White,Refused,other party,Catholic,Not applicable,NA
2006,Divorced,55,White,Not applicable,democrat,None,Not applicable,NA
2006,Married,44,White,Refused,republican,Catholic,Not applicable,2
2006,Married,66,White,Not applicable,democrat,Catholic,Not applicable,NA
2006,Married,42,White,$25000 or more,other party,Catholic,Not applicable,1
2006,Never married,52,White,$25000 or more,republican,Catholic,Not applicable,NA
2006,Married,50,White,$25000 or more,democrat,Catholic,Not applicable,NA
2006,Married,76,White,Not applicable,democrat,Catholic,Not applicable,2
2006,Divorced,44,White,$10000 - 14999,other party,Protestant,United methodist,1
2006,Married,68,White,Not applicable,republican,Protestant,Other,4
2006,Widowed,70,White,Not applicable,democrat,None,Not applicable,2
2006,Divorced,50,White,$25000 or more,republican,Protestant,United methodist,NA
2006,Married,62,White,$25000 or more,democrat,Catholic,Not applicable,3
2006,Never married,45,White,$25000 or more,democrat,None,Not applicable,NA
2006,Married,69,White,$25000 or more,democrat,Catholic,Not applicable,NA
2006,Widowed,88,White,Not applicable,democrat,Jewish,Not applicable,3
2006,Never married,54,White,$25000 or more,democrat,Catholic,Not applicable,3
2006,Married,69,White,$25000 or more,other party,Orthodox-christian,Not applicable,NA
2006,Widowed,86,White,Not applicable,democrat,Jewish,Not applicable,NA
2006,Divorced,70,White,Not applicable,democrat,Jewish,Not applicable,10
2006,Married,57,White,$25000 or more,democrat,Jewish,Not applicable,3
2006,Widowed,79,White,Not applicable,democrat,Catholic,Not applicable,NA
2006,Married,45,White,Not applicable,republican,Protestant,Other,NA
2006,Married,45,White,$25000 or more,democrat,Protestant,Presbyterian c in us,2
2006,Married,67,White,$25000 or more,other party,Protestant,No denomination,NA
2006,Married,61,White,Not applicable,republican,Catholic,Not applicable,NA
2006,Divorced,54,White,$25000 or more,democrat,None,Not applicable,NA
2006,Never married,83,White,Not applicable,other party,Jewish,Not applicable,NA
2006,Married,47,White,$25000 or more,democrat,Protestant,Episcopal,NA
2006,Divorced,58,White,Not applicable,democrat,None,Not applicable,12
2006,Married,37,White,Not applicable,democrat,Jewish,Not applicable,NA
2006,Married,36,White,$25000 or more,republican,Protestant,Other,NA
2006,Married,74,White,Not applicable,republican,Catholic,Not applicable,NA
2006,Never married,19,White,$3000 to 3999,democrat,Catholic,Not applicable,NA
2006,Married,55,White,$25000 or more,republican,None,Not applicable,2
2006,Married,74,White,Not applicable,republican,Protestant,Other,NA
2006,Married,43,White,Don't know,other party,Protestant,Other,NA
2006,Married,59,White,$25000 or more,other party,Protestant,United methodist,3
2006,Never married,21,White,$20000 - 24999,republican,None,Not applicable,4
2006,Married,56,White,$25000 or more,democrat,Protestant,No denomination,NA
2006,Divorced,66,White,Not applicable,other party,Protestant,United methodist,5
2006,Married,31,White,$25000 or more,republican,Catholic,Not applicable,2
2006,Married,51,White,$25000 or more,republican,Catholic,Not applicable,2
2006,Never married,44,Black,$25000 or more,democrat,Protestant,Baptist-dk which,NA
2006,Never married,24,Black,$15000 - 19999,democrat,Catholic,Not applicable,2
2006,Never married,22,Black,No answer,other party,No answer,No answer,NA
2006,Never married,28,White,Not applicable,republican,Protestant,United methodist,2
2006,Married,42,Black,$25000 or more,other party,Protestant,Baptist-dk which,NA
2006,Married,34,White,Not applicable,republican,Protestant,No denomination,NA
2006,Never married,34,Black,Not applicable,other party,None,Not applicable,NA
2006,Never married,25,Black,Refused,democrat,Protestant,Am baptist asso,NA
2006,Widowed,78,White,Not applicable,other party,Protestant,United methodist,8
2006,Married,34,Other,$25000 or more,other party,Hinduism,Not applicable,NA
2006,Married,38,Other,$25000 or more,other party,Catholic,Not applicable,NA
2006,Married,54,White,$25000 or more,republican,Catholic,Not applicable,3
2006,Married,54,White,$25000 or more,democrat,None,Not applicable,NA
2006,Married,34,White,$25000 or more,republican,None,Not applicable,NA
2006,Divorced,65,White,Not applicable,other party,Protestant,Other,2
2006,Married,40,White,$25000 or more,democrat,None,Not applicable,NA
2006,Divorced,39,White,$25000 or more,republican,Protestant,United methodist,NA
2006,Never married,24,White,$25000 or more,republican,Protestant,United methodist,1
2006,Never married,28,Black,$25000 or more,democrat,Catholic,Not applicable,2
2006,Widowed,87,White,Not applicable,democrat,Protestant,Luth ch in america,NA
2006,Married,44,White,$25000 or more,democrat,None,Not applicable,NA
2006,Married,34,Black,$25000 or more,democrat,Protestant,Southern baptist,NA
2006,Married,52,White,$25000 or more,democrat,Protestant,Southern baptist,NA
2006,Married,40,White,Not applicable,republican,Protestant,Southern baptist,NA
2006,Married,52,Black,$20000 - 24999,democrat,Protestant,Nat bapt conv usa,2
2006,Married,24,White,$8000 to 9999,republican,Protestant,No denomination,NA
2006,Married,38,Other,Not applicable,republican,Catholic,Not applicable,NA
2006,Never married,34,Other,$20000 - 24999,other party,None,Not applicable,NA
2006,Married,30,Other,Not applicable,other party,Catholic,Not applicable,NA
2006,Never married,23,Black,Not applicable,democrat,Protestant,Baptist-dk which,NA
2006,Married,30,White,$20000 - 24999,republican,Catholic,Not applicable,NA
2006,Never married,48,Black,$25000 or more,other party,Protestant,Southern baptist,NA
2006,Married,36,Other,$20000 - 24999,other party,Inter-nondenominational,Not applicable,NA
2006,Married,37,White,Not applicable,republican,None,Not applicable,3
2006,Divorced,60,White,$25000 or more,democrat,Protestant,Other,2
2006,Divorced,43,Other,$25000 or more,democrat,Protestant,No denomination,5
2006,Divorced,47,Black,$15000 - 19999,democrat,None,Not applicable,NA
2006,Divorced,63,White,$25000 or more,other party,None,Not applicable,2
2006,Married,28,Black,$25000 or more,democrat,Protestant,Southern baptist,3
2006,Married,55,White,$25000 or more,republican,Protestant,Baptist-dk which,2
2006,Married,32,Other,Not applicable,other party,None,Not applicable,NA
2006,Married,58,White,$10000 - 14999,republican,Protestant,Southern baptist,NA
2006,Married,65,White,Not applicable,democrat,None,Not applicable,NA
2006,Married,48,White,$10000 - 14999,democrat,Moslem/islam,Not applicable,0
2006,Married,61,White,Lt $1000,republican,Protestant,No denomination,4
2006,Married,49,White,$25000 or more,republican,Protestant,United methodist,NA
2006,Married,40,White,$25000 or more,democrat,None,Not applicable,1
2006,Married,54,White,Refused,democrat,Jewish,Not applicable,NA
2006,Never married,19,Black,Not applicable,republican,Protestant,Baptist-dk which,NA
2006,Married,47,Black,No answer,democrat,Protestant,Southern baptist,NA
2006,Married,50,Black,Refused,democrat,Protestant,Other,1
2006,Never married,31,White,$25000 or more,other party,Catholic,Not applicable,NA
2006,Divorced,51,White,$25000 or more,democrat,None,Not applicable,1
2006,Never married,23,White,$15000 - 19999,democrat,Protestant,Lutheran-mo synod,NA
2006,Never married,43,White,$4000 to 4999,democrat,Jewish,Not applicable,NA
2006,Never married,19,White,$1000 to 2999,republican,Protestant,No denomination,0
2006,Divorced,58,White,$25000 or more,republican,Protestant,Am lutheran,NA
2006,Married,60,Black,$20000 - 24999,democrat,Protestant,Episcopal,NA
2006,Married,44,White,$25000 or more,other party,Protestant,No denomination,2
2006,Separated,46,Other,$1000 to 2999,other party,Catholic,Not applicable,NA
2006,Never married,25,Black,$10000 - 14999,democrat,Protestant,Baptist-dk which,2
2006,Never married,22,White,$15000 - 19999,republican,Christian,No denomination,NA
2006,Never married,29,White,$25000 or more,democrat,Protestant,Lutheran-mo synod,NA
2006,Never married,36,Other,Not applicable,other party,Protestant,Other,8
2006,Married,61,White,$25000 or more,republican,Protestant,Lutheran-mo synod,NA
2006,Never married,39,White,Not applicable,republican,Protestant,Lutheran-mo synod,2
2006,Divorced,50,White,Not applicable,other party,None,Not applicable,NA
2006,Divorced,33,White,Not applicable,republican,Protestant,Baptist-dk which,NA
2006,Married,37,White,$25000 or more,republican,Protestant,Southern baptist,2
2006,Married,49,Other,$25000 or more,democrat,None,Not applicable,1
2006,Married,32,White,$4000 to 4999,other party,Catholic,Not applicable,NA
2006,Married,21,White,$20000 - 24999,republican,None,Not applicable,NA
2006,Married,59,White,Not applicable,democrat,Catholic,Not applicable,NA
2006,Married,57,White,$25000 or more,republican,None,Not applicable,2
2006,Married,57,Other,$25000 or more,republican,Catholic,Not applicable,NA
2006,Married,61,White,$15000 - 19999,republican,Protestant,United pres ch in us,4
2006,Married,83,White,Not applicable,republican,Protestant,Luth ch in america,NA
2006,Widowed,69,White,Not applicable,democrat,Catholic,Not applicable,NA
2006,Divorced,54,White,$25000 or more,other party,Christian,No denomination,NA
2006,Divorced,60,White,$25000 or more,democrat,Other,Not applicable,2
2006,Married,59,White,Not applicable,other party,Catholic,Not applicable,NA
2006,Married,65,White,Not applicable,republican,Protestant,Am lutheran,NA
2006,Never married,31,White,$25000 or more,democrat,Christian,No denomination,NA
2006,Never married,54,White,$10000 - 14999,other party,Protestant,Other,NA
2006,Married,80,White,Not applicable,democrat,Catholic,Not applicable,2
2006,Divorced,48,White,$25000 or more,democrat,Protestant,Am lutheran,NA
2006,Never married,22,Other,Not applicable,other party,Protestant,Baptist-dk which,7
2006,Married,59,White,$25000 or more,other party,Catholic,Not applicable,2
2006,Married,39,White,$25000 or more,republican,Catholic,Not applicable,1
2006,Divorced,52,White,$25000 or more,democrat,Protestant,No denomination,NA
2006,Married,44,White,Not applicable,republican,Protestant,Other,NA
2006,Widowed,78,White,Not applicable,republican,No answer,No answer,5
2006,Married,52,White,$25000 or more,democrat,Protestant,No denomination,2
2006,Married,77,White,Not applicable,republican,Protestant,Other baptists,NA
2006,Married,75,White,Not applicable,republican,Protestant,Luth ch in america,6
2006,Never married,41,White,$25000 or more,republican,Christian,No denomination,1
2006,Separated,61,Other,$4000 to 4999,democrat,Catholic,Not applicable,2
2006,Married,63,White,$25000 or more,republican,Catholic,Not applicable,3
2006,Married,62,White,Not applicable,republican,Protestant,United methodist,NA
2006,Widowed,84,White,Not applicable,republican,Protestant,No denomination,NA
2006,Divorced,52,White,$3000 to 3999,republican,Catholic,Not applicable,NA
2006,Never married,42,White,$7000 to 7999,democrat,Christian,No denomination,2
2006,Never married,21,White,$15000 - 19999,democrat,Catholic,Not applicable,2
2006,Never married,25,White,$15000 - 19999,democrat,None,Not applicable,1
2006,Divorced,40,Other,$25000 or more,republican,Protestant,Other,NA
2006,Separated,36,White,$20000 - 24999,democrat,None,Not applicable,NA
2006,Never married,40,Black,Not applicable,democrat,Protestant,Other,3
2006,Divorced,47,White,$25000 or more,democrat,Christian,No denomination,1
2006,Married,50,White,Refused,republican,Protestant,"Presbyterian, merged",NA
2006,Divorced,63,White,$10000 - 14999,democrat,Protestant,Am lutheran,NA
2006,Divorced,54,White,$25000 or more,democrat,Christian,No denomination,NA
2006,Divorced,59,White,$10000 - 14999,other party,None,Not applicable,2
2006,Married,42,White,$25000 or more,democrat,Catholic,Not applicable,2
2006,Separated,39,White,$3000 to 3999,democrat,Protestant,United methodist,NA
2006,Married,75,Black,Not applicable,democrat,Protestant,Other,6
2006,Married,48,White,$10000 - 14999,democrat,Catholic,Not applicable,1
2006,Married,50,White,$25000 or more,democrat,Catholic,Not applicable,2
2006,Never married,27,White,$20000 - 24999,democrat,Catholic,Not applicable,NA
2006,Never married,42,White,$20000 - 24999,other party,None,Not applicable,3
2006,Married,44,White,$25000 or more,republican,Protestant,No denomination,NA
2006,Married,31,Other,Not applicable,other party,Hinduism,Not applicable,2
2006,Divorced,62,White,Not applicable,other party,None,Not applicable,NA
2006,Separated,44,Other,Refused,other party,None,Not applicable,NA
2006,Never married,37,Other,$25000 or more,democrat,None,Not applicable,NA
2006,Never married,89,White,Not applicable,democrat,None,Not applicable,NA
2006,Never married,41,White,$20000 - 24999,democrat,None,Not applicable,0
2006,Married,35,Other,Not applicable,other party,Protestant,Other,NA
2006,Never married,42,White,Refused,other party,None,Not applicable,0
2006,Married,42,White,$25000 or more,republican,Protestant,Presbyterian c in us,NA
2006,Married,40,White,Refused,democrat,Jewish,Not applicable,NA
2006,Never married,30,White,$25000 or more,republican,None,Not applicable,1
2006,Divorced,47,White,Refused,other party,Protestant,Evangelical luth,1
2006,Divorced,55,White,$10000 - 14999,republican,Christian,No denomination,NA
2006,Married,53,White,$25000 or more,other party,Catholic,Not applicable,NA
2006,Never married,41,White,$25000 or more,republican,Protestant,Evangelical luth,2
2006,Married,76,White,Not applicable,other party,Protestant,United methodist,NA
2006,Married,50,White,$25000 or more,republican,None,Not applicable,2
2006,Widowed,56,White,$20000 - 24999,republican,Protestant,Lutheran-mo synod,3
2006,Married,38,White,Not applicable,republican,Protestant,Methodist-dk which,2
2006,Separated,67,Black,Not applicable,democrat,Protestant,Southern baptist,2
2006,Married,42,White,$7000 to 7999,republican,Protestant,Other,2
2006,Married,42,White,$25000 or more,republican,Protestant,Lutheran-mo synod,NA
2006,Never married,51,White,$25000 or more,democrat,Christian,No denomination,NA
2006,Divorced,43,White,$25000 or more,republican,Protestant,Other,NA
2006,Divorced,56,White,Not applicable,democrat,Jewish,Not applicable,NA
2006,Married,40,White,$25000 or more,republican,Protestant,United methodist,2
2006,Married,39,White,$25000 or more,republican,Catholic,Not applicable,NA
2006,Married,49,White,$25000 or more,republican,Protestant,Other,NA
2006,Married,34,Other,$25000 or more,republican,Catholic,Not applicable,2
2006,Married,53,White,$25000 or more,democrat,Catholic,Not applicable,3
2006,Never married,22,Black,$4000 to 4999,democrat,Protestant,Other,NA
2006,Never married,46,White,$10000 - 14999,other party,Catholic,Not applicable,1
2006,Married,86,White,Not applicable,democrat,Protestant,Am lutheran,NA
2006,Divorced,49,White,$25000 or more,democrat,Protestant,Am lutheran,1
2006,Never married,55,White,$25000 or more,democrat,Catholic,Not applicable,2
2006,Never married,34,White,$25000 or more,democrat,None,Not applicable,2
2006,Widowed,62,White,Not applicable,democrat,Protestant,Other,0
2006,Married,85,White,Not applicable,republican,Protestant,United methodist,NA
2006,Married,51,White,Refused,republican,Catholic,Not applicable,NA
2006,Never married,80,White,Not applicable,republican,Protestant,Episcopal,NA
2006,Separated,46,Black,$1000 to 2999,democrat,Protestant,Other,6
2006,Married,86,White,Not applicable,democrat,Catholic,Not applicable,1
2006,Married,48,White,$25000 or more,democrat,Protestant,United methodist,2
2006,Never married,22,White,$10000 - 14999,democrat,Protestant,Lutheran-mo synod,NA
2006,Married,47,White,Refused,other party,Protestant,Other,NA
2006,Married,67,White,Not applicable,republican,Catholic,Not applicable,NA
2006,Married,58,White,$25000 or more,democrat,Protestant,Am lutheran,1
2006,Married,57,White,$25000 or more,other party,Protestant,Baptist-dk which,NA
2006,Married,52,White,$25000 or more,republican,Protestant,Am lutheran,1
2006,Married,69,White,Not applicable,democrat,Catholic,Not applicable,NA
2006,Never married,48,White,$15000 - 19999,democrat,Protestant,United methodist,2
2006,Married,43,White,$25000 or more,republican,Catholic,Not applicable,NA
2006,Married,63,White,$1000 to 2999,republican,Protestant,"Presbyterian, merged",2
2006,Married,66,White,Not applicable,other party,Catholic,Not applicable,3
2006,Married,43,White,$25000 or more,republican,Protestant,United methodist,2
2006,Never married,21,Black,$8000 to 9999,republican,Protestant,Nat bapt conv of am,NA
2006,Married,48,White,$20000 - 24999,democrat,Protestant,No denomination,NA
2006,Divorced,38,Black,$10000 - 14999,other party,Catholic,Not applicable,NA
2006,Widowed,57,Black,$25000 or more,democrat,Protestant,No denomination,2
2006,Widowed,76,White,Not applicable,democrat,Protestant,Other,NA
2006,Never married,21,Other,Not applicable,democrat,Catholic,Not applicable,NA
2006,Married,73,White,Not applicable,republican,Protestant,United methodist,NA
2006,Married,23,Black,$15000 - 19999,other party,Protestant,Afr meth ep zion,4
2006,Never married,19,Other,$3000 to 3999,other party,Protestant,Southern baptist,1
2006,Married,80,White,Not applicable,republican,Protestant,United methodist,NA
2006,Married,50,White,$20000 - 24999,republican,Protestant,Other,NA
2006,Married,56,White,Refused,democrat,Protestant,Other,2
2006,Divorced,37,Black,$8000 to 9999,democrat,Protestant,No denomination,3
2006,Divorced,49,White,Not applicable,republican,Protestant,No denomination,NA
2006,Never married,27,White,$20000 - 24999,republican,Protestant,Other,NA
2006,Divorced,72,White,Not applicable,democrat,Protestant,Southern baptist,1
2006,Never married,39,Black,$25000 or more,democrat,Protestant,No denomination,NA
2006,Married,32,White,Not applicable,other party,Protestant,No denomination,NA
2006,Divorced,63,White,Not applicable,republican,Protestant,Southern baptist,NA
2006,Married,41,White,$25000 or more,democrat,Protestant,No denomination,NA
2006,Widowed,53,White,$25000 or more,democrat,Protestant,Baptist-dk which,2
2006,Divorced,77,White,Not applicable,democrat,Protestant,Other,5
2006,Separated,34,White,$25000 or more,democrat,Protestant,Lutheran-mo synod,2
2006,Married,29,White,$25000 or more,republican,Protestant,Other,NA
2006,Never married,47,Black,$1000 to 2999,democrat,Protestant,Don't know,NA
2006,Married,46,White,$25000 or more,republican,Protestant,Southern baptist,NA
2006,Divorced,63,White,$25000 or more,other party,Protestant,United methodist,NA
2006,Married,28,White,$10000 - 14999,other party,Protestant,Baptist-dk which,NA
2006,Separated,45,Black,$10000 - 14999,democrat,Protestant,Other,12
2006,Divorced,48,Black,Not applicable,democrat,Protestant,Other,NA
2006,Never married,54,White,$25000 or more,democrat,Protestant,Episcopal,NA
2006,Never married,24,White,$25000 or more,republican,Protestant,United methodist,NA
2006,Married,84,White,Not applicable,democrat,Jewish,Not applicable,NA
2006,Divorced,51,White,$25000 or more,republican,Protestant,Episcopal,NA
2006,Married,34,White,$8000 to 9999,democrat,Protestant,Episcopal,NA
2006,Never married,29,Other,$25000 or more,democrat,Hinduism,Not applicable,1
2006,Married,26,White,$25000 or more,republican,Protestant,Southern baptist,1
2006,Never married,27,White,$25000 or more,other party,Protestant,Lutheran-mo synod,2
2006,Never married,23,Black,$25000 or more,republican,Protestant,No denomination,18
2006,Never married,34,Black,$15000 - 19999,democrat,Protestant,Southern baptist,8
2006,Never married,20,Black,Not applicable,democrat,Protestant,Southern baptist,5
2006,Divorced,63,Black,$25000 or more,democrat,Protestant,Am baptist asso,1
2006,Married,43,Black,Not applicable,other party,Protestant,Southern baptist,5
2006,Married,29,Other,Not applicable,republican,Catholic,Not applicable,NA
2006,Married,77,Black,Not applicable,democrat,Protestant,Baptist-dk which,NA
2006,Never married,26,Other,$25000 or more,other party,Hinduism,Not applicable,4
2006,Never married,36,Other,Not applicable,democrat,Catholic,Not applicable,NA
2006,Married,39,White,$25000 or more,republican,Protestant,Other presbyterian,NA
2006,Married,55,White,$25000 or more,republican,Protestant,Other methodist,3
2006,Never married,30,White,$25000 or more,other party,Protestant,Other,2
2006,Married,49,White,$25000 or more,other party,None,Not applicable,0
2006,Married,46,White,$25000 or more,republican,Protestant,Southern baptist,NA
2006,Never married,27,White,$25000 or more,other party,Protestant,Southern baptist,NA
2006,Married,62,White,Not applicable,democrat,Protestant,Other,NA
2006,Married,34,White,$20000 - 24999,republican,Protestant,Other,1
2006,Divorced,54,White,$3000 to 3999,republican,Protestant,Southern baptist,NA
2006,No answer,NA,White,Not applicable,republican,Protestant,Other,NA
2006,Widowed,80,White,Not applicable,democrat,Protestant,Other,3
2006,Married,23,White,$10000 - 14999,republican,Protestant,Southern baptist,2
2006,Never married,21,White,$20000 - 24999,republican,Protestant,Southern baptist,NA
2006,Widowed,84,White,Not applicable,republican,Protestant,United methodist,NA
2006,Married,47,White,$20000 - 24999,other party,Protestant,Southern baptist,6
2006,Never married,29,White,$25000 or more,republican,Protestant,Other,NA
2006,Widowed,79,White,$3000 to 3999,democrat,Protestant,United methodist,3
2006,Divorced,33,White,$15000 - 19999,democrat,Protestant,Southern baptist,NA
2006,Married,62,White,$25000 or more,republican,Protestant,Am baptist asso,2
2006,Married,41,White,$15000 - 19999,other party,Protestant,Other,NA
2006,Married,52,White,$25000 or more,republican,Protestant,Southern baptist,NA
2006,Married,35,White,$25000 or more,republican,Protestant,Other,2
2006,Married,47,White,$25000 or more,republican,Protestant,Other,1
2006,Never married,23,White,$25000 or more,democrat,Protestant,No denomination,3
2006,Separated,33,White,Not applicable,republican,Protestant,Southern baptist,1
2006,Married,51,White,$20000 - 24999,democrat,Protestant,Other baptists,2
2006,Married,34,White,$25000 or more,republican,Protestant,Other,2
2006,Married,39,White,Not applicable,republican,Protestant,United methodist,NA
2006,Married,48,White,Refused,republican,Catholic,Not applicable,1
2006,Married,36,White,$25000 or more,democrat,Catholic,Not applicable,2
2006,Married,36,White,$25000 or more,republican,Protestant,Baptist-dk which,1
2006,Married,73,White,Not applicable,democrat,Protestant,Other,NA
2006,Married,40,White,$25000 or more,democrat,None,Not applicable,NA
2006,Never married,40,White,$20000 - 24999,democrat,None,Not applicable,NA
2006,Married,85,White,$8000 to 9999,other party,Protestant,Other,2
2006,Never married,28,White,$25000 or more,other party,Catholic,Not applicable,NA
2006,Never married,20,White,$5000 to 5999,republican,Catholic,Not applicable,NA
2006,Married,29,White,$25000 or more,republican,Protestant,No denomination,NA
2006,Married,49,White,Refused,other party,Catholic,Not applicable,NA
2006,Never married,19,Other,$15000 - 19999,other party,Catholic,Not applicable,NA
2006,Never married,24,Other,$25000 or more,democrat,None,Not applicable,NA
2006,Divorced,56,White,Not applicable,democrat,Protestant,No denomination,NA
2006,Never married,20,Other,$25000 or more,democrat,None,Not applicable,1
2006,Married,30,White,$25000 or more,democrat,Protestant,No denomination,NA
2006,Married,28,White,$1000 to 2999,other party,Catholic,Not applicable,1
2006,Married,38,White,$25000 or more,republican,Catholic,Not applicable,2
2006,Married,51,White,$25000 or more,other party,Protestant,No denomination,NA
2006,Never married,41,White,$25000 or more,republican,Protestant,No denomination,NA
2006,Never married,53,White,$25000 or more,democrat,Catholic,Not applicable,NA
2006,Never married,25,White,$25000 or more,republican,Protestant,Southern baptist,NA
2006,Widowed,76,White,Not applicable,republican,Catholic,Not applicable,4
2006,Divorced,55,White,$15000 - 19999,other party,Protestant,Presbyterian-dk wh,NA
2006,Married,70,White,Not applicable,republican,Protestant,Baptist-dk which,NA
2006,Married,35,White,$25000 or more,other party,Native american,Not applicable,2
2006,Married,58,White,Refused,republican,Catholic,Not applicable,NA
2006,Married,44,White,$25000 or more,other party,Catholic,Not applicable,1
2006,Married,47,White,$25000 or more,republican,Catholic,Not applicable,2
2006,Married,72,White,Refused,democrat,Protestant,Episcopal,NA
2006,Divorced,63,White,Not applicable,democrat,Catholic,Not applicable,NA
2006,Married,46,White,$25000 or more,republican,None,Not applicable,NA
2006,Divorced,71,White,Don't know,other party,Protestant,Lutheran-mo synod,NA
2006,Never married,43,White,$25000 or more,democrat,Jewish,Not applicable,NA
2006,Married,65,White,$15000 - 19999,other party,Catholic,Not applicable,5
2006,Married,43,White,$25000 or more,republican,Protestant,Other,1
2006,Divorced,54,Black,Not applicable,other party,Protestant,Baptist-dk which,NA
2006,Married,40,Black,$25000 or more,democrat,Protestant,Baptist-dk which,5
2006,Divorced,58,Black,$6000 to 6999,other party,Protestant,Other,NA
2006,Divorced,31,Black,$25000 or more,democrat,Protestant,Other,1
2006,Divorced,48,Black,$25000 or more,democrat,Protestant,Other,NA
2006,Never married,18,Black,$3000 to 3999,democrat,Protestant,Other,1
2006,Never married,48,Black,$25000 or more,democrat,Protestant,Southern baptist,6
2006,Married,61,Black,Not applicable,democrat,Protestant,Southern baptist,6
2006,Married,38,White,Not applicable,republican,Protestant,Baptist-dk which,NA
2006,Married,62,White,Not applicable,republican,Protestant,Evangelical luth,6
2006,Married,72,White,Not applicable,republican,Protestant,No denomination,1
2006,Married,87,White,Not applicable,republican,Protestant,Presbyterian-dk wh,NA
2006,Widowed,71,White,$25000 or more,republican,Protestant,Southern baptist,5
2006,Married,76,White,Refused,democrat,Catholic,Not applicable,NA
2006,Married,56,White,$25000 or more,republican,Protestant,Southern baptist,4
2006,Married,71,White,Not applicable,democrat,Protestant,No denomination,2
2006,Married,55,White,Don't know,republican,Protestant,Other,NA
2006,Married,37,White,$25000 or more,republican,Protestant,No denomination,10
2006,Widowed,55,White,$25000 or more,republican,Protestant,United methodist,NA
2006,Married,68,White,Not applicable,republican,Catholic,Not applicable,NA
2006,Married,62,White,Not applicable,other party,Protestant,Other,NA
2006,Divorced,30,White,Refused,democrat,None,Not applicable,1
2006,Never married,37,White,$20000 - 24999,democrat,None,Not applicable,NA
2006,Never married,26,White,$10000 - 14999,democrat,Other,Not applicable,0
2006,Never married,26,White,$25000 or more,democrat,None,Not applicable,NA
2006,Separated,38,Other,$25000 or more,other party,Catholic,Not applicable,2
2006,Never married,28,Other,$25000 or more,democrat,Catholic,Not applicable,NA
2006,Divorced,46,White,$25000 or more,other party,Protestant,Other presbyterian,NA
2006,Never married,27,White,$25000 or more,democrat,None,Not applicable,NA
2006,Separated,33,White,Refused,democrat,Protestant,Other,NA
2006,Married,55,Other,Not applicable,democrat,Catholic,Not applicable,NA
2006,Married,48,Other,Don't know,republican,Catholic,Not applicable,NA
2006,Never married,25,Other,$25000 or more,republican,Catholic,Not applicable,2
2006,Married,38,Other,$25000 or more,other party,Catholic,Not applicable,4
2006,Widowed,78,Other,Not applicable,other party,Catholic,Not applicable,3
2006,Married,55,Other,$15000 - 19999,other party,Catholic,Not applicable,NA
2006,Divorced,48,Other,Not applicable,democrat,Catholic,Not applicable,NA
2006,Married,21,Other,Not applicable,republican,Catholic,Not applicable,3
2006,Married,26,White,$25000 or more,republican,Protestant,Baptist-dk which,NA
2006,Never married,20,White,Not applicable,other party,Catholic,Not applicable,7
2006,Married,58,Other,Refused,other party,Catholic,Not applicable,NA
2006,Never married,32,Other,$25000 or more,democrat,Catholic,Not applicable,NA
2006,Married,86,White,Not applicable,democrat,Catholic,Not applicable,3
