token,pos
's,PART
coat-,SYM
tails,NOUN
.,PUNCT
"""",PUNCT
"""",PUNCT
I,PRON
ca,AUX
n't,PART
drift,VERB
--,PUNCT
I,PRON
want,VERB
to,PART
be,AUX
interested,ADJ
.,PUNCT
I,PRON
want,VERB
to,PART
pull,VERB
strings,NOUN
",",PUNCT
even,ADV
for,ADP
somebody,PRON
else,ADJ
",",PUNCT
or,CCONJ
be,AUX
Princetonian,ADJ
chairman,NOUN
or,CCONJ
Triangle,PROPN
president,PROPN
.,PUNCT
I,PRON
want,VERB
to,PART
be,AUX
admired,VERB
",",PUNCT
Kerry,PROPN
.,PUNCT
"""",PUNCT
"""",PUNCT
You,PRON
're,AUX
thinking,VERB
too,ADV
much,ADJ
about,ADP
yourself,PRON
.,PUNCT
"""",PUNCT
Amory,ADV
sat,VERB
up,ADP
at,ADP
this,PRON
.,PUNCT
"""",PUNCT
No,INTJ
.,PUNCT
I,PRON
'm,AUX
thinking,VERB
about,ADP
you,PRON
",",PUNCT
too,ADV
.,PUNCT
We,PRON
've,AUX
got,VERB
to,PART
get,VERB
out,ADV
and,CCONJ
mix,VERB
around,ADV
the,DET
class,NOUN
right,ADV
now,ADV
",",PUNCT
when,ADV
it,PRON
's,AUX
fun,VERB
to,PART
be,AUX
a,DET
snob,NOUN
.,PUNCT
I,PRON
'd,AUX
like,VERB
to,PART
bring,VERB
a,DET
sardine,NUM
to,ADP
the,DET
prom,NOUN
in,ADP
June,PROPN
",",PUNCT
for,ADP
instance,NOUN
",",PUNCT
but,CCONJ
I,PRON
would,AUX
n't,PART
do,VERB
it,PRON
unless,SCONJ
I,PRON
could,AUX
be,AUX
damn,ADV
debonaire,VERB
about,ADP
it,PRON
--,PUNCT
introduce,VERB
her,PRON
to,ADP
all,DET
the,DET
prize,NOUN
parlor,NOUN
-,PUNCT
snakes,NOUN
",",PUNCT
and,CCONJ
the,DET
football,NOUN
captain,NOUN
",",PUNCT
and,CCONJ
all,DET
that,DET
simple,ADJ
stuff,NOUN
.,PUNCT
"""",PUNCT
"""",PUNCT
Amory,PROPN
",",PUNCT
"""",PUNCT
said,VERB
Kerry,PROPN
impatiently,ADV
",",PUNCT
"""",PUNCT
you,PRON
're,AUX
just,ADV
going,VERB
around,ADV
in,ADP
a,DET
circle,NOUN
.,PUNCT
If,SCONJ
you,PRON
want,VERB
to,PART
be,AUX
prominent,VERB
",",PUNCT
get,VERB
out,ADV
and,CCONJ
try,VERB
for,ADP
something,PRON
;,PUNCT
if,SCONJ
you,PRON
do,AUX
n't,PART
",",PUNCT
just,ADV
take,VERB
it,PRON
easy,ADJ
.,PUNCT
"""",PUNCT
He,PRON
yawned,VERB
.,PUNCT
"""",PUNCT
Come,VERB
on,ADV
",",PUNCT
let,VERB
's,PRON
let,VERB
the,DET
smoke,NOUN
drift,VERB
off,ADP
.,PUNCT
We,PRON
'll,AUX
go,VERB
down,ADV
and,CCONJ
watch,VERB
football,NOUN
practice,NOUN
.,PUNCT
"""",PUNCT
*****,PUNCT
Amory,ADV
gradually,ADV
accepted,VERB
this,DET
point,NOUN
of,ADP
view,NOUN
",",PUNCT
decided,VERB
that,SCONJ
next,ADJ
fall,NOUN
would,AUX
inaugurate,VERB
his,PRON
career,NOUN
",",PUNCT
and,CCONJ
relinquished,VERB
himself,PRON
to,SCONJ
watching,VERB
Kerry,PROPN
extract,VERB
joy,NOUN
from,ADP
12,NUM
Univee,PROPN
.,PUNCT
They,PRON
filled,VERB
the,DET
Jewish,ADJ
youth,NOUN
's,PART
bed,NOUN
with,ADP
lemon,NOUN
pie,NOUN
;,PUNCT
they,PRON
put,VERB
out,ADP
the,DET
gas,NOUN
all,ADV
over,ADP
the,DET
house,NOUN
every,DET
night,NOUN
by,SCONJ
blowing,VERB
into,ADP
the,DET
jet,NOUN
in,ADP
Amory,PROPN
's,PART
room,NOUN
",",PUNCT
to,ADP
the,DET
bewilderment,NOUN
of,ADP
Mrs.,PROPN
Twelve,PROPN
and,CCONJ
the,DET
local,ADJ
plumber,NOUN
;,PUNCT
they,PRON
set,VERB
up,ADP
the,DET
effects,NOUN
of,ADP
the,DET
plebeian,ADJ
drunks,NOUN
--,PUNCT
pictures,NOUN
",",PUNCT
books,NOUN
",",PUNCT
and,CCONJ
furniture,ADJ
--,PUNCT
in,ADP
the,DET
bathroom,NOUN
",",PUNCT
to,ADP
the,DET
confusion,NOUN
of,ADP
the,DET
pair,NOUN
",",PUNCT
who,PRON
hazily,ADV
discovered,VERB
the,DET
transposition,NOUN
on,ADP
their,PRON
return,NOUN
from,ADP
a,DET
Trenton,PROPN
spree,NOUN
;,PUNCT
they,PRON
were,AUX
disappointed,VERB
beyond,ADV
measure,VERB
when,ADV
the,DET
plebeian,ADJ
drunks,NOUN
decided,VERB
to,PART
take,VERB
it,PRON
as,ADP
a,DET
joke,NOUN
;,PUNCT
they,PRON
played,VERB
red,ADJ
-,PUNCT
dog,NOUN
and,CCONJ
twenty,NUM
-,PUNCT
one,NOUN
and,CCONJ
jackpot,NOUN
from,ADP
dinner,NOUN
to,PART
dawn,VERB
",",PUNCT
and,CCONJ
on,ADP
the,DET
occasion,NOUN
of,ADP
one,NUM
man,NOUN
's,PART
birthday,NOUN
persuaded,VERB
him,PRON
to,PART
buy,VERB
sufficient,ADJ
champagne,NOUN
for,ADP
a,DET
hilarious,ADJ
celebration,NOUN
.,PUNCT
The,DET
donor,NOUN
of,ADP
the,DET
party,NOUN
having,VERB
remained,ADJ
sober,NOUN
",",PUNCT
Kerry,PROPN
and,CCONJ
Amory,PROPN
accidentally,ADV
dropped,VERB
him,PRON
down,ADP
two,NUM
flights,NOUN
of,ADP
stairs,NOUN
and,CCONJ
called,VERB
",",PUNCT
shame,NOUN
-,PUNCT
faced,ADJ
and,CCONJ
penitent,ADJ
",",PUNCT
at,ADP
the,DET
infirmary,NOUN
all,DET
the,DET
following,VERB
week,NOUN
.,PUNCT
"""",PUNCT
Say,PROPN
",",PUNCT
who,PRON
are,AUX
all,DET
these,DET
women,NOUN
?,PUNCT
"""",PUNCT
demanded,VERB
Kerry,PROPN
one,NUM
day,NOUN
",",PUNCT
protesting,VERB
at,ADP
the,DET
size,NOUN
of,ADP
Amory,PROPN
's,PART
mail,NOUN
.,PUNCT
"""",PUNCT
I,PRON
've,AUX
been,AUX
looking,VERB
at,ADP
the,DET
postmarks,NOUN
lately,ADV
--,PUNCT
Farmington,PROPN
and,CCONJ
Dobbs,PROPN
and,CCONJ
Westover,PROPN
and,CCONJ
Dana,PROPN
Hall,PROPN
--,PUNCT
what,PRON
's,AUX
the,DET
idea,NOUN
?,PUNCT
"""",PUNCT
Amory,PROPN
grinned,VERB
.,PUNCT
"""",PUNCT
All,DET
from,ADP
the,DET
Twin,PROPN
Cities,PROPN
.,PUNCT
"""",PUNCT
He,PRON
named,VERB
them,PRON
off,ADP
.,PUNCT
"""",PUNCT
There,PRON
's,VERB
Marylyn,PROPN
De,PROPN
Witt,PROPN
--,PUNCT
she,PRON
's,AUX
pretty,ADV
",",PUNCT
got,VERB
a,DET
car,NOUN
of,ADP
her,PRON
own,ADJ
and,CCONJ
that,PRON
's,AUX
damn,ADV
convenient,ADJ
;,PUNCT
there,PRON
's,VERB
Sally,PROPN
Weatherby,PROPN
--,PUNCT
she,PRON
's,AUX
getting,VERB
too,ADV
fat,ADJ
;,PUNCT
there,PRON
's,VERB
Myra,PROPN
St.,PROPN
Claire,PROPN
",",PUNCT
she,PRON
's,AUX
an,DET
old,ADJ
flame,NOUN
",",PUNCT
easy,ADJ
to,PART
kiss,VERB
if,SCONJ
you,PRON
like,VERB
it,PRON
--,PUNCT
"""",PUNCT
"""",PUNCT
What,DET
line,NOUN
do,AUX
you,PRON
throw,VERB
',PUNCT
em,PRON
?,PUNCT
"""",PUNCT
demanded,VERB
Kerry,PROPN
.,PUNCT
"""",PUNCT
I,PRON
've,AUX
tried,VERB
everything,PRON
",",PUNCT
and,CCONJ
the,DET
mad,ADJ
wags,NOUN
are,AUX
n't,PART
even,ADV
afraid,ADJ
of,ADP
me,PRON
.,PUNCT
"""",PUNCT
"""",PUNCT
You,PRON
're,AUX
the,DET
',PUNCT
nice,ADJ
boy,NOUN
',PUNCT
type,NOUN
",",PUNCT
"""",PUNCT
suggested,VERB
Amory,PROPN
.,PUNCT
"""",PUNCT
That,PRON
's,AUX
just,ADV
it,PRON
.,PUNCT
Mother,NOUN
always,ADV
feels,VERB
the,DET
girl,NOUN
is,AUX
safe,ADJ
if,SCONJ
she,PRON
's,AUX
with,ADP
me,PRON
.,PUNCT
Honestly,ADV
",",PUNCT
it,PRON
's,AUX
annoying,ADJ
.,PUNCT
If,SCONJ
I,PRON
start,VERB
to,PART
hold,VERB
somebody,PRON
's,PART
hand,NOUN
",",PUNCT
they,PRON
laugh,VERB
at,ADP
me,PRON
",",PUNCT
and,CCONJ
let,VERB
me,PRON
",",PUNCT
just,ADV
as,SCONJ
if,SCONJ
it,PRON
was,AUX
n't,PART
part,NOUN
of,ADP
them,PRON
.,PUNCT
As,ADV
soon,ADV
as,SCONJ
I,PRON
get,VERB
hold,NOUN
of,ADP
a,DET
hand,NOUN
they,PRON
sort,ADV
of,ADV
disconnect,VERB
it,PRON
from,ADP
the,DET
rest,NOUN
of,ADP
them,PRON
.,PUNCT
"""",PUNCT
"""",PUNCT
Sulk,PROPN
",",PUNCT
"""",PUNCT
suggested,VERB
Amory,PROPN
.,PUNCT
"""",PUNCT
Tell,VERB
'em,PRON
you,PRON
're,AUX
wild,ADJ
and,CCONJ
have,VERB
'em,PRON
reform,NOUN
you,PRON
--,PUNCT
go,VERB
home,ADV
furious,ADJ
--,PUNCT
come,VERB
back,ADV
in,ADP
half,DET
an,DET
hour,NOUN
--,PUNCT
startle,VERB
'em,PRON
.,PUNCT
"""",PUNCT
Kerry,PROPN
shook,VERB
his,PRON
head,NOUN
.,PUNCT
"""",PUNCT
No,DET
chance,NOUN
.,PUNCT
I,PRON
wrote,VERB
a,DET
St.,PROPN
Timothy,PROPN
girl,NOUN
a,DET
really,ADV
loving,ADJ
letter,NOUN
last,ADJ
year,NOUN
.,PUNCT
In,ADP
one,NUM
place,NOUN
I,PRON
got,VERB
rattled,ADJ
and,CCONJ
said,VERB
:,PUNCT
',PUNCT
My,PRON
God,PROPN
",",PUNCT
how,ADV
I,PRON
love,VERB
you,PRON
!,PUNCT
',PUNCT
She,PRON
took,VERB
a,DET
nail,NOUN
scissors,NOUN
",",PUNCT
clipped,VERB
out,ADP
the,DET
',PUNCT
My,PRON
God,PROPN
',PUNCT
and,CCONJ
showed,VERB
the,DET
rest,NOUN
of,ADP
the,DET
letter,NOUN
all,ADV
over,ADP
school,NOUN
.,PUNCT
Does,AUX
n't,PART
work,VERB
at,ADV
all,ADV
.,PUNCT
I,PRON
'm,AUX
just,ADV
',PUNCT
good,ADJ
old,ADJ
Kerry,PROPN
',PUNCT
and,CCONJ
all,DET
that,DET
rot,NOUN
.,PUNCT
"""",PUNCT
Amory,PROPN
smiled,VERB
and,CCONJ
tried,VERB
to,PART
picture,VERB
himself,PRON
as,ADP
"""",PUNCT
good,ADJ
old,ADJ
Amory,NOUN
.,PUNCT
"""",PUNCT
He,PRON
failed,VERB
completely,ADV
.,PUNCT
February,PROPN
dripped,VERB
snow,NOUN
and,CCONJ
rain,NOUN
",",PUNCT
the,DET
cyclonic,ADJ
freshman,NOUN
mid,X
-years,NOUN
passed,VERB
",",PUNCT
and,CCONJ
life,NOUN
in,ADP
12,NUM
Univee,PROPN
continued,VERB
interesting,ADJ
if,SCONJ
not,PART
purposeful,ADJ
.,PUNCT
Once,SCONJ
a,DET
day,NOUN
Amory,PROPN
indulged,VERB
in,ADP
a,DET
club,NOUN
sandwich,NOUN
",",PUNCT
cornflakes,NOUN
",",PUNCT
and,CCONJ
Julienne,PROPN
potatoes,NOUN
at,ADP
"""",PUNCT
Joe,PROPN
's,PART
",",PUNCT
"""",PUNCT
accompanied,VERB
usually,ADV
by,ADP
Kerry,PROPN
or,CCONJ
Alec,PROPN
Connage,PROPN
.,PUNCT
The,DET
latter,ADJ
was,AUX
a,DET
quiet,NOUN
",",PUNCT
rather,ADV
aloof,ADP
slicker,NOUN
from,ADP
Hotchkiss,PROPN
",",PUNCT
who,PRON
lived,VERB
next,ADJ
door,NOUN
and,CCONJ
shared,VERB
the,DET
same,ADJ
enforced,NOUN
singleness,NOUN
as,ADP
Amory,PROPN
",",PUNCT
due,ADP
to,ADP
the,DET
fact,NOUN
that,SCONJ
his,PRON
entire,ADJ
class,NOUN
had,AUX
gone,VERB
to,ADP
Yale,PROPN
.,PUNCT
"""",PUNCT
Joe,PROPN
's,PART
"""",PUNCT
was,AUX
unaesthetic,ADJ
and,CCONJ
faintly,ADV
unsanitary,ADJ
",",PUNCT
but,CCONJ
a,DET
limitless,NOUN
charge,NOUN
account,NOUN
could,AUX
be,AUX
opened,VERB
there,ADV
",",PUNCT
a,DET
convenience,NOUN
that,ADV
Amory,PROPN
appreciated,VERB
.,PUNCT
His,PRON
father,NOUN
had,AUX
been,AUX
experimenting,VERB
with,ADP
mining,NOUN
stocks,NOUN
and,CCONJ
",",PUNCT
in,ADP
consequence,NOUN
",",PUNCT
his,PRON
allowance,NOUN
",",PUNCT
while,SCONJ
liberal,ADJ
",",PUNCT
was,AUX
not,PART
at,ADV
all,ADV
what,PRON
he,PRON
had,AUX
expected,VERB
.,PUNCT
"""",PUNCT
Joe,PROPN
's,PART
"""",PUNCT
had,VERB
the,DET
additional,ADJ
advantage,NOUN
of,ADP
seclusion,NOUN
from,ADP
curious,ADJ
upper-,SYM
class,NOUN
eyes,NOUN
",",PUNCT
so,ADV
at,ADP
four,NUM
each,DET
afternoon,NOUN
Amory,NOUN
",",PUNCT
accompanied,VERB
by,ADP
friend,NOUN
or,CCONJ
book,NOUN
",",PUNCT
went,VERB
up,ADV
to,ADP
experiment,NOUN
with,ADP
his,PRON
digestion,NOUN
.,PUNCT
One,NUM
day,NOUN
in,ADP
March,PROPN
",",PUNCT
finding,VERB
that,SCONJ
all,DET
the,DET
tables,NOUN
were,AUX
occupied,VERB
",",PUNCT
he,PRON
slipped,VERB
into,ADP
a,DET
chair,NOUN
opposite,DET
a,DET
freshman,NOUN
who,PRON
bent,VERB
intently,ADV
over,ADP
a,DET
book,NOUN
at,ADP
the,DET
last,ADJ
table,NOUN
.,PUNCT
They,PRON
nodded,VERB
briefly,ADV
.,PUNCT
For,ADP
twenty,NUM
minutes,NOUN
Amory,PROPN
sat,VERB
consuming,VERB
bacon,NOUN
buns,NOUN
and,CCONJ
reading,VERB
"""",PUNCT
Mrs,PROPN
.,PUNCT
Warren,PROPN
's,PART
Profession,PROPN
"""",PUNCT
(,PUNCT
he,PRON
had,AUX
discovered,VERB
Shaw,PROPN
quite,ADV
by,ADP
accident,NOUN
while,SCONJ
browsing,VERB
in,ADP
the,DET
library,NOUN
during,ADP
mid-years,NOUN
),PUNCT
;,PUNCT
the,DET
other,ADJ
freshman,ADJ
",",PUNCT
also,ADV
intent,NOUN
on,ADP
his,PRON
volume,NOUN
",",PUNCT
meanwhile,ADV
did,VERB
away,ADV
with,ADP
a,DET
trio,NOUN
of,ADP
chocolate,NOUN
malted,VERB
milks,NOUN
.,PUNCT
By,ADP
and,CCONJ
by,ADP
Amory,PROPN
's,PART
eyes,NOUN
wandered,VERB
curiously,ADV
to,ADP
his,PRON
fellow,ADJ
-,PUNCT
luncher,NOUN
's,PART
book,NOUN
.,PUNCT
He,PRON
spelled,VERB
out,ADP
the,DET
name,NOUN
and,CCONJ
title,NOUN
upside,ADP
down,NOUN
--,PUNCT
"""",PUNCT
Marpessa,PROPN
",",PUNCT
"""",PUNCT
by,ADP
Stephen,PROPN
Phillips,PROPN
.,PUNCT
This,PRON
meant,VERB
nothing,PRON
to,ADP
him,PRON
",",PUNCT
his,PRON
metrical,ADJ
education,NOUN
having,AUX
been,AUX
confined,VERB
to,ADP
such,ADJ
Sunday,PROPN
classics,NOUN
as,SCONJ
"""",PUNCT
Come,PROPN
into,ADP
the,DET
Garden,PROPN
",",PUNCT
Maude,PROPN
",",PUNCT
"""",PUNCT
and,CCONJ
what,DET
morsels,NOUN
of,ADP
Shakespeare,PROPN
and,CCONJ
Milton,PROPN
had,AUX
been,AUX
recently,ADV
forced,VERB
upon,ADP
him,PRON
.,PUNCT
Moved,VERB
to,PART
address,VERB
his,PRON
vis,NOUN
-,PUNCT
a,NOUN
-,PUNCT
vis,NOUN
",",PUNCT
he,PRON
simulated,VERB
interest,NOUN
in,ADP
his,PRON
book,NOUN
for,ADP
a,DET
moment,NOUN
",",PUNCT
and,CCONJ
then,ADV
exclaimed,VERB
aloud,ADV
as,SCONJ
if,SCONJ
involuntarily,ADV
:,PUNCT
"""",PUNCT
Ha,PROPN
!,PUNCT
Great,ADJ
stuff,NOUN
!,PUNCT
"""",PUNCT
The,DET
other,ADJ
freshman,NOUN
looked,VERB
up,ADP
and,CCONJ
Amory,PROPN
registered,VERB
artificial,ADJ
embarrassment,NOUN
.,PUNCT
"""",PUNCT
Are,AUX
you,PRON
referring,VERB
to,ADP
your,PRON
bacon,NOUN
buns,NOUN
?,PUNCT
"""",PUNCT
His,PRON
cracked,VERB
",",PUNCT
kindly,ADV
voice,NOUN
went,VERB
well,ADV
with,ADP
the,DET
large,ADJ
spectacles,NOUN
and,CCONJ
the,DET
impression,NOUN
of,ADP
a,DET
voluminous,ADJ
keenness,VERB
that,SCONJ
he,PRON
gave,VERB
.,PUNCT
"""",PUNCT
No,INTJ
",",PUNCT
"""",PUNCT
Amory,PROPN
answered,VERB
.,PUNCT
"""",PUNCT
I,PRON
was,AUX
referring,VERB
to,ADP
Bernard,PROPN
Shaw,PROPN
.,PUNCT
"""",PUNCT
He,PRON
turned,VERB
the,DET
book,VERB
around,ADV
in,ADP
explanation,NOUN
.,PUNCT
"""",PUNCT
I,PRON
've,AUX
never,ADV
read,VERB
any,DET
Shaw,NOUN
.,PUNCT
I,PRON
've,AUX
always,ADV
meant,VERB
to,ADP
.,PUNCT
"""",PUNCT
The,DET
boy,NOUN
paused,VERB
and,CCONJ
then,ADV
continued,VERB
:,PUNCT
"""",PUNCT
Did,AUX
you,PRON
ever,ADV
read,VERB
Stephen,PROPN
Phillips,PROPN
",",PUNCT
or,CCONJ
do,AUX
you,PRON
like,VERB
poetry,NOUN
?,PUNCT
"""",PUNCT
"""",PUNCT
Yes,INTJ
",",PUNCT
indeed,ADV
",",PUNCT
"""",PUNCT
Amory,PROPN
affirmed,VERB
eagerly,ADV
.,PUNCT
"""",PUNCT
I,PRON
've,AUX
never,ADV
read,VERB
much,ADJ
of,ADP
Phillips,INTJ
",",PUNCT
though,ADV
.,PUNCT
"""",PUNCT
(,PUNCT
He,PRON
had,AUX
never,ADV
heard,VERB
of,ADP
any,DET
Phillips,NOUN
except,ADP
the,DET
late,ADJ
David,PROPN
Graham,PROPN
.,PUNCT
),PUNCT
"""",PUNCT
It,PRON
's,AUX
pretty,ADV
fair,ADJ
",",PUNCT
I,PRON
think,VERB
.,PUNCT
Of,ADV
course,ADV
he,PRON
's,AUX
a,DET
Victorian,ADJ
.,PUNCT
"""",PUNCT
They,PRON
sallied,VERB
into,ADP
a,DET
discussion,NOUN
of,ADP
poetry,NOUN
",",PUNCT
in,ADP
the,DET
course,NOUN
of,ADP
which,PRON
they,PRON
introduced,VERB
themselves,PRON
",",PUNCT
and,CCONJ
Amory,PROPN
's,PART
companion,NOUN
proved,VERB
to,PART
be,AUX
none,NOUN
other,ADJ
than,ADP
"""",PUNCT
that,PRON
awful,ADJ
highbrow,NOUN
",",PUNCT
Thomas,PROPN
Parke,PROPN
D',PROPN
Invilliers,PROPN
",",PUNCT
"""",PUNCT
who,PRON
signed,VERB
the,DET
passionate,NOUN
love-poems,NOUN
in,ADP
the,DET
Lit,NOUN
.,PUNCT
He,PRON
was,AUX
",",PUNCT
perhaps,ADV
",",PUNCT
nineteen,NUM
",",PUNCT
with,SCONJ
stooped,VERB
shoulders,NOUN
",",PUNCT
pale,VERB
blue,ADJ
eyes,NOUN
",",PUNCT
and,CCONJ
",",PUNCT
as,SCONJ
Amory,DET
could,AUX
tell,VERB
from,ADP
his,PRON
general,NOUN
appearance,NOUN
",",PUNCT
without,ADP
much,ADJ
conception,NOUN
of,ADP
social,ADJ
competition,NOUN
and,CCONJ
such,ADJ
phenomena,ADP
of,SCONJ
absorbing,VERB
interest,NOUN
.,PUNCT
Still,ADV
",",PUNCT
he,PRON
liked,VERB
books,NOUN
",",PUNCT
and,CCONJ
it,PRON
seemed,VERB
forever,ADV
since,SCONJ
Amory,PROPN
had,AUX
met,VERB
any,DET
one,NOUN
who,PRON
did,VERB
;,PUNCT
if,SCONJ
only,ADV
that,DET
St.,PROPN
Paul,PROPN
's,PART
crowd,NOUN
at,ADP
the,DET
next,ADJ
table,NOUN
would,AUX
not,PART
mistake,VERB
_him,PRON
_,SYM
for,ADP
a,DET
bird,NOUN
",",PUNCT
too,ADV
",",PUNCT
he,PRON
would,AUX
enjoy,VERB
the,DET
encounter,NOUN
tremendously,ADV
.,PUNCT
They,PRON
did,AUX
n't,PART
seem,VERB
to,PART
be,AUX
noticing,VERB
",",PUNCT
so,ADV
he,PRON
let,VERB
himself,PRON
go,VERB
",",PUNCT
discussed,VERB
books,NOUN
by,ADP
the,DET
dozens,NOUN
--,PUNCT
books,NOUN
he,PRON
had,AUX
read,VERB
",",PUNCT
read,VERB
about,ADV
",",PUNCT
books,NOUN
he,PRON
had,AUX
never,ADV
heard,VERB
of,SCONJ
",",PUNCT
rattling,VERB
off,ADP
lists,NOUN
of,ADP
titles,NOUN
with,ADP
the,DET
facility,NOUN
of,ADP
a,DET
Brentano,PROPN
's,PART
clerk,NOUN
.,PUNCT
D',PROPN
Invilliers,PROPN
was,AUX
partially,ADV
taken,VERB
in,ADP
and,CCONJ
wholly,ADV
delighted,ADJ
.,PUNCT
In,ADP
a,DET
good,ADJ
-,PUNCT
natured,ADJ
way,NOUN
he,PRON
had,VERB
almost,ADV
decided,VERB
that,SCONJ
Princeton,PROPN
was,AUX
one,NUM
part,NOUN
deadly,PROPN
Philistines,PROPN
and,CCONJ
one,NUM
part,NOUN
deadly,ADJ
grinds,NOUN
",",PUNCT
and,CCONJ
to,PART
find,VERB
a,DET
person,NOUN
who,PRON
could,AUX
mention,VERB
Keats,NOUN
without,ADP
stammering,VERB
",",PUNCT
yet,CCONJ
evidently,ADV
washed,VERB
his,PRON
hands,NOUN
",",PUNCT
was,AUX
rather,ADP
a,DET
treat,NOUN
.,PUNCT
"""",PUNCT
Ever,ADV
read,VERB
any,DET
Oscar,PROPN
Wilde,PROPN
?,PUNCT
"""",PUNCT
he,PRON
asked,VERB
.,PUNCT
"""",PUNCT
No,INTJ
.,PUNCT
Who,PRON
wrote,VERB
it,PRON
?,PUNCT
"""",PUNCT
"""",PUNCT
It,PRON
's,AUX
a,DET
man,NOUN
--,PUNCT
do,AUX
n't,PART
you,PRON
know,VERB
?,PUNCT
"""",PUNCT
"""",PUNCT
Oh,INTJ
",",PUNCT
surely,ADV
.,PUNCT
"""",PUNCT
A,DET
faint,NOUN
chord,NOUN
was,AUX
struck,VERB
in,ADP
Amory,PROPN
's,PART
memory,NOUN
.,PUNCT
"""",PUNCT
Was,AUX
n't,PART
the,DET
comic,ADJ
opera,NOUN
",",PUNCT
',PUNCT
Patience,NOUN
",",PUNCT
',PUNCT
written,VERB
about,ADP
him,PRON
?,PUNCT
"""",PUNCT
"""",PUNCT
Yes,INTJ
",",PUNCT
that,PRON
's,AUX
the,DET
fella,NOUN
.,PUNCT
I,PRON
've,AUX
just,ADV
finished,VERB
a,DET
book,NOUN
of,ADP
his,PRON
",",PUNCT
',PUNCT
The,DET
Picture,NOUN
of,ADP
Dorian,PROPN
Gray,PROPN
",",PUNCT
',PUNCT
and,CCONJ
I,PRON
certainly,ADV
wish,VERB
you,PRON
'd,AUX
read,VERB
it,PRON
.,PUNCT
You,PRON
'd,AUX
like,VERB
it,PRON
.,PUNCT
You,PRON
can,AUX
borrow,VERB
it,PRON
if,SCONJ
you,PRON
want,VERB
to,PART
.,PUNCT
"""",PUNCT
"""",PUNCT
Why,ADV
",",PUNCT
I,PRON
'd,AUX
like,VERB
it,PRON
a,DET
lot,NOUN
--,PUNCT
thanks,NOUN
.,PUNCT
"""",PUNCT
"""",PUNCT
Do,AUX
n't,PART
you,PRON
want,VERB
to,PART
come,VERB
up,ADV
to,ADP
the,DET
room,NOUN
?,PUNCT
I,PRON
've,AUX
got,VERB
a,DET
few,ADJ
other,ADJ
books,NOUN
.,PUNCT
"""",PUNCT
Amory,NOUN
hesitated,VERB
",",PUNCT
glanced,VERB
at,ADP
the,DET
St.,PROPN
Paul,PROPN
's,PART
group,NOUN
--,PUNCT
one,NUM
of,ADP
them,PRON
was,AUX
the,DET
magnificent,ADJ
",",PUNCT
exquisite,ADJ
Humbird,NOUN
--,PUNCT
and,CCONJ
he,PRON
considered,VERB
how,ADV
determinate,ADV
the,DET
addition,NOUN
of,ADP
this,DET
friend,NOUN
would,AUX
be,VERB
.,PUNCT
He,PRON
never,ADV
got,VERB
to,ADP
the,DET
stage,NOUN
of,SCONJ
making,VERB
them,PRON
and,CCONJ
getting,VERB
rid,ADJ
of,ADP
them,PRON
--,PUNCT
he,PRON
was,AUX
not,PART
hard,ADJ
enough,ADJ
for,ADP
that,PRON
--,PUNCT
so,ADV
he,PRON
measured,VERB
Thomas,PROPN
Parke,PROPN
D',PROPN
Invilliers,PROPN
',PART
undoubted,ADJ
attractions,NOUN
and,CCONJ
value,NOUN
against,ADP
the,DET
menace,NOUN
of,ADP
cold,ADJ
eyes,NOUN
behind,ADP
tortoise,NOUN
-,PUNCT
rimmed,VERB
spectacles,NOUN
that,PRON
he,PRON
fancied,VERB
glared,VERB
from,ADP
the,DET
next,ADJ
table,NOUN
.,PUNCT
"""",PUNCT
Yes,INTJ
",",PUNCT
I,PRON
'll,AUX
go,VERB
.,PUNCT
"""",PUNCT
So,ADV
he,PRON
found,VERB
"""",PUNCT
Dorian,PROPN
Gray,PROPN
"""",PUNCT
and,CCONJ
the,DET
"""",PUNCT
Mystic,PROPN
and,CCONJ
Somber,PROPN
Dolores,PROPN
"""",PUNCT
and,CCONJ
the,DET
"""",PUNCT
Belle,PROPN
Dame,PROPN
sans,VERB
Merci,PROPN
"""",PUNCT
;,PUNCT
for,ADP
a,DET
month,NOUN
was,AUX
keen,ADJ
on,ADP
naught,VERB
else,ADJ
.,PUNCT
The,DET
world,NOUN
became,VERB
pale,ADJ
and,CCONJ
interesting,ADJ
",",PUNCT
and,CCONJ
he,PRON
tried,VERB
hard,ADV
to,PART
look,VERB
at,ADP
Princeton,PROPN
through,ADP
the,DET
satiated,VERB
eyes,NOUN
of,ADP
Oscar,PROPN
Wilde,PROPN
and,CCONJ
Swinburne,PROPN
--,PUNCT
or,CCONJ
"""",PUNCT
Fingal,ADJ
O',PROPN
Flaherty,PROPN
"""",PUNCT
and,CCONJ
"""",PUNCT
Algernon,PROPN
Charles,PROPN
",",PUNCT
"""",PUNCT
as,SCONJ
he,PRON
called,VERB
them,PRON
in,ADP
precieuse,ADJ
jest,NOUN
.,PUNCT
He,PRON
read,VERB
enormously,ADV
every,DET
night,NOUN
--,PUNCT
Shaw,PROPN
",",PUNCT
Chesterton,PROPN
",",PUNCT
Barrie,PROPN
",",PUNCT
Pinero,PROPN
",",PUNCT
Yeats,PROPN
",",PUNCT
Synge,INTJ
",",PUNCT
Ernest,PROPN
Dowson,PROPN
",",PUNCT
Arthur,PROPN
Symons,PROPN
",",PUNCT
Keats,PROPN
",",PUNCT
Sudermann,PROPN
",",PUNCT
